Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
META,04/05/24,514.98,528.77,512.54,525.42,19334028,16.36,3.21%
META,04/04/24,514.54,528.07,508.72,509.06,26530620,4.16,0.82%
META,04/03/24,497.12,505.40,496.94,504.90,12236916,9.34,1.88%
META,04/02/24,483.34,495.72,482.89,495.56,11109218,6.00,1.23%
META,04/01/24,485.43,495.62,480.03,489.56,9274353,5.75,1.19%
META,03/28/24,491.05,487.71,483.39,483.81,15277033,-8.25,-1.68%
META,03/27/24,497.49,498.07,486.30,492.06,10016238,-2.02,-0.41%
META,03/26/24,503.29,508.15,493.41,494.09,11235104,-7.10,-1.42%
META,03/25/24,503.95,505.38,498.42,501.19,8407557,-6.54,-1.29%
META,03/22/24,505.16,508.12,502.51,507.73,8150319,1.81,0.36%
META,03/21/24,512.84,513.17,504.17,505.91,9749747,2.23,0.44%
META,03/20/24,497.68,506.35,493.37,503.68,11736948,9.25,1.87%
META,03/19/24,486.40,494.82,479.53,494.44,10937970,-0.74,-0.15%
META,03/18/24,490.12,495.61,485.04,495.17,11781093,12.83,2.66%
META,03/15/24,487.23,490.04,479.55,482.34,29766908,-7.70,-1.57%
META,03/14/24,498.44,499.53,486.39,490.04,12659875,-3.73,-0.75%
META,03/13/24,493.59,499.16,489.25,493.77,12113005,-4.16,-0.84%
META,03/12/24,491.47,500.48,482.97,497.93,15491382,16.10,3.34%
META,03/11/24,495.20,495.51,474.27,481.83,20481374,-22.28,-4.42%
META,03/08/24,512.32,521.67,497.54,504.11,18671154,-6.22,-1.22%
META,03/07/24,501.45,517.96,499.56,510.33,18625242,16.04,3.25%
META,03/06/24,495.82,501.14,492.50,494.29,11783521,5.85,1.20%
META,03/05/24,493.20,493.78,486.12,488.44,15560756,-7.94,-1.60%
META,03/04/24,501.17,502.59,494.62,496.38,12353371,-4.09,-0.82%
META,03/01/24,490.32,502.42,490.06,500.47,16429688,12.13,2.48%
META,02/29/24,486.67,489.91,480.86,488.35,18041594,6.09,1.26%
META,02/28/24,483.24,489.26,481.00,482.26,12979265,-3.02,-0.62%
META,02/27/24,478.24,485.50,478.18,485.28,10886794,5.29,1.10%
META,02/26/24,481.71,484.37,478.85,479.99,12129789,-2.28,-0.47%
